subject_id,subject_name,subject_fullname,main_field,sub_field,leaf_subject,depth,node_type,taxonomy_path,source
60,Enerji ve Yakıtlar,Fen > Mühendislik > Enerji ve Yakıtlar,Fen,Mühendislik,Enerji ve Yakıtlar,3,LEAF_SUBJECT,Fen > Mühendislik > Enerji ve Yakıtlar,ARTICLE_SUBJECT_DATA
61,Enfeksiyon Hastalıkları,Fen > Tıp > Enfeksiyon Hastalıkları,Fen,Tıp,Enfeksiyon Hastalıkları,3,LEAF_SUBJECT,Fen > Tıp > Enfeksiyon Hastalıkları,ARTICLE_SUBJECT_DATA
62,Entomoloji,Fen > Temel Bilimler > Entomoloji,Fen,Temel Bilimler,Entomoloji,3,LEAF_SUBJECT,Fen > Temel Bilimler > Entomoloji,ARTICLE_SUBJECT_DATA
64,Etik,Sosyal > Sosyal > Etik,Sosyal,Sosyal,Etik,3,LEAF_SUBJECT,Sosyal > Sosyal > Etik,ARTICLE_SUBJECT_DATA
65,Etnik Çalışmalar,Sosyal > Sosyal > Etnik Çalışmalar,Sosyal,Sosyal,Etnik Çalışmalar,3,LEAF_SUBJECT,Sosyal > Sosyal > Etnik Çalışmalar,ARTICLE_SUBJECT_DATA
66,Farmakoloji ve Eczacılık,Fen > Eczacılık > Farmakoloji ve Eczacılık,Fen,Eczacılık,Farmakoloji ve Eczacılık,3,LEAF_SUBJECT,Fen > Eczacılık > Farmakoloji ve Eczacılık,ARTICLE_SUBJECT_DATA
67,Felsefe,Sosyal > Sosyal > Felsefe,Sosyal,Sosyal,Felsefe,3,LEAF_SUBJECT,Sosyal > Sosyal > Felsefe,ARTICLE_SUBJECT_DATA
68,"Film, Radyo, Televizyon","Sosyal > Sosyal > Film, Radyo, Televizyon",Sosyal,Sosyal,"Film, Radyo, Televizyon",3,LEAF_SUBJECT,"Sosyal > Sosyal > Film, Radyo, Televizyon",ARTICLE_SUBJECT_DATA
69,"Fizik, Akışkanlar ve Plazma","Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",Fen,Temel Bilimler,"Fizik, Akışkanlar ve Plazma",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Fizik, Akışkanlar ve Plazma",ARTICLE_SUBJECT_DATA
70,"Fizik, Atomik ve Moleküler Kimya","Fen > Temel Bilimler > Fizik, Atomik ve Moleküler Kimya",Fen,Temel Bilimler,"Fizik, Atomik ve Moleküler Kimya",3,LEAF_SUBJECT,"Fen > Temel Bilimler > Fizik, Atomik ve Moleküler Kimya",ARTICLE_SUBJECT_DATA
