subject_id,subject_name,subject_fullname
188,Telekomünikasyon,Fen > Mühendislik > Telekomünikasyon
189,Temel Sağlık Hizmetleri,Fen > Tıp > Temel Sağlık Hizmetleri
190,Termodinamik,Fen > Temel Bilimler > Termodinamik
191,Tıbbi Araştırmalar Deneysel,Fen > Tıp > Tıbbi Araştırmalar Deneysel
192,Tıbbi Etik,Fen > Tıp > Tıbbi Etik
193,Tıbbi İnformatik,Fen > Tıp > Tıbbi İnformatik
194,Tıbbi Laboratuar Teknolojisi,Fen > Tıp > Tıbbi Laboratuar Teknolojisi
195,Tiyatro,Sosyal > Sosyal > Tiyatro
196,Toksikoloji,Fen > Eczacılık > Toksikoloji
197,Transplantasyon,Fen > Tıp > Transplantasyon
198,Tropik Tıp,Fen > Tıp > Tropik Tıp
199,Uluslararası İlişkiler,Sosyal > Sosyal > Uluslararası İlişkiler
200,Üroloji ve Nefroloji,Fen > Tıp > Üroloji ve Nefroloji
201,Veterinerlik,Fen > Veterinerlik > Veterinerlik
202,Viroloji,Fen > Temel Bilimler > Viroloji
203,"Yeşil, Sürdürülebilir Bilim ve Teknoloji","Fen > Mühendislik > Yeşil, Sürdürülebilir Bilim ve Teknoloji"
204,"Yoğun Bakım, Tıp","Fen > Tıp > Yoğun Bakım, Tıp"
205,Ziraat Mühendisliği,Fen > Ziraat > Ziraat Mühendisliği
206,"Ziraat, Toprak Bilimi","Fen > Ziraat > Ziraat, Toprak Bilimi"
207,Zooloji,Fen > Temel Bilimler > Zooloji
