article_id,subject_id,subject_name,subject_fullname,root_name,auto_label,main_field,sub_field,leaf_subject
344,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
344,105,Kadın Araştırmaları,Sosyal > Sosyal > Kadın Araştırmaları,Sosyal,True,Sosyal,Sosyal,Kadın Araştırmaları
344,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
345,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
346,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
348,51,Din Bilimi,Sosyal > Sosyal > Din Bilimi,Sosyal,True,Sosyal,Sosyal,Din Bilimi
348,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
349,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
350,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
350,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
351,137,Mimarlık,Fen > Mühendislik > Mimarlık,Fen,True,Fen,Mühendislik,Mimarlık
351,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
352,55,"Eğitim, Eğitim Araştırmaları","Sosyal > Sosyal > Eğitim, Eğitim Araştırmaları",Sosyal,True,Sosyal,Sosyal,"Eğitim, Eğitim Araştırmaları"
352,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
353,90,Hukuk,Sosyal > Sosyal > Hukuk,Sosyal,True,Sosyal,Sosyal,Hukuk
353,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
354,94,İletişim,Sosyal > Sosyal > İletişim,Sosyal,True,Sosyal,Sosyal,İletişim
354,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
355,101,İşletme,Sosyal > Sosyal > İşletme,Sosyal,True,Sosyal,Sosyal,İşletme
355,179,Sosyoloji,Sosyal > Sosyal > Sosyoloji,Sosyal,True,Sosyal,Sosyal,Sosyoloji
355,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
356,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
356,185,Tarih,Sosyal > Sosyal > Tarih,Sosyal,True,Sosyal,Sosyal,Tarih
359,187,Taşınım Bilimi ve Teknolojisi,Fen > Mühendislik > Taşınım Bilimi ve Teknolojisi,Fen,True,Fen,Mühendislik,Taşınım Bilimi ve Teknolojisi
359,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
360,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
360,199,Uluslararası İlişkiler,Sosyal > Sosyal > Uluslararası İlişkiler,Sosyal,True,Sosyal,Sosyal,Uluslararası İlişkiler
361,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
361,102,İşletme Finans,Sosyal > Sosyal > İşletme Finans,Sosyal,True,Sosyal,Sosyal,İşletme Finans
362,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
362,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
362,179,Sosyoloji,Sosyal > Sosyal > Sosyoloji,Sosyal,True,Sosyal,Sosyal,Sosyoloji
364,60,Enerji ve Yakıtlar,Fen > Mühendislik > Enerji ve Yakıtlar,Fen,True,Fen,Mühendislik,Enerji ve Yakıtlar
364,44,Çevre Çalışmaları,Sosyal > Sosyal > Çevre Çalışmaları,Sosyal,True,Sosyal,Sosyal,Çevre Çalışmaları
364,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
365,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
365,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
365,179,Sosyoloji,Sosyal > Sosyal > Sosyoloji,Sosyal,True,Sosyal,Sosyal,Sosyoloji
366,99,İstatistik ve Olasılık,Fen > Temel Bilimler > İstatistik ve Olasılık,Fen,True,Fen,Temel Bilimler,İstatistik ve Olasılık
366,93,İktisat,Sosyal > Sosyal > İktisat,Sosyal,True,Sosyal,Sosyal,İktisat
366,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
367,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
367,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen,True,Fen,Tıp,Biyokimya ve Moleküler Biyoloji
368,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
368,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen,True,Fen,Temel Bilimler,Çevre Bilimleri
368,40,Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Fen,True,Fen,Tıp,Biyoteknoloji ve Uygulamalı Mikrobiyoloji
369,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
369,40,Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Fen > Tıp > Biyoteknoloji ve Uygulamalı Mikrobiyoloji,Fen,True,Fen,Tıp,Biyoteknoloji ve Uygulamalı Mikrobiyoloji
369,135,Mikrobiyoloji,Fen > Tıp > Mikrobiyoloji,Fen,True,Fen,Tıp,Mikrobiyoloji
370,66,Farmakoloji ve Eczacılık,Fen > Eczacılık > Farmakoloji ve Eczacılık,Fen,True,Fen,Eczacılık,Farmakoloji ve Eczacılık
370,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
370,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen,True,Fen,Tıp,Biyokimya ve Moleküler Biyoloji
371,196,Toksikoloji,Fen > Eczacılık > Toksikoloji,Fen,True,Fen,Eczacılık,Toksikoloji
371,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
371,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen,True,Fen,Tıp,Biyokimya ve Moleküler Biyoloji
372,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
372,81,Genetik ve Kalıtım,Fen > Temel Bilimler > Genetik ve Kalıtım,Fen,True,Fen,Temel Bilimler,Genetik ve Kalıtım
372,207,Zooloji,Fen > Temel Bilimler > Zooloji,Fen,True,Fen,Temel Bilimler,Zooloji
372,91,Hücre Biyolojisi,Fen > Tıp > Hücre Biyolojisi,Fen,True,Fen,Tıp,Hücre Biyolojisi
373,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
373,37,Biyokimya ve Moleküler Biyoloji,Fen > Tıp > Biyokimya ve Moleküler Biyoloji,Fen,True,Fen,Tıp,Biyokimya ve Moleküler Biyoloji
373,91,Hücre Biyolojisi,Fen > Tıp > Hücre Biyolojisi,Fen,True,Fen,Tıp,Hücre Biyolojisi
374,83,Gıda Bilimi ve Teknolojisi,Fen > Mühendislik > Gıda Bilimi ve Teknolojisi,Fen,True,Fen,Mühendislik,Gıda Bilimi ve Teknolojisi
374,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
375,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
375,43,Çevre Bilimleri,Fen > Temel Bilimler > Çevre Bilimleri,Fen,True,Fen,Temel Bilimler,Çevre Bilimleri
376,38,Biyoloji,Fen > Temel Bilimler > Biyoloji,Fen,True,Fen,Temel Bilimler,Biyoloji
376,183,Tamamlayıcı ve Entegre Tıp,Fen > Tıp > Tamamlayıcı ve Entegre Tıp,Fen,True,Fen,Tıp,Tamamlayıcı ve Entegre Tıp
378,101,İşletme,Sosyal > Sosyal > İşletme,Sosyal,True,Sosyal,Sosyal,İşletme
378,178,Sosyal Çalışma,Sosyal > Sosyal > Sosyal Çalışma,Sosyal,True,Sosyal,Sosyal,Sosyal Çalışma
379,46,Davranış Bilimleri,Sosyal > Sosyal > Davranış Bilimleri,Sosyal,True,Sosyal,Sosyal,Davranış Bilimleri
379,101,İşletme,Sosyal > Sosyal > İşletme,Sosyal,True,Sosyal,Sosyal,İşletme
379,167,Psikoloji,Sosyal > Sosyal > Psikoloji,Sosyal,True,Sosyal,Sosyal,Psikoloji
380,94,İletişim,Sosyal > Sosyal > İletişim,Sosyal,True,Sosyal,Sosyal,İletişim
380,101,İşletme,Sosyal > Sosyal > İşletme,Sosyal,True,Sosyal,Sosyal,İşletme
381,44,Çevre Çalışmaları,Sosyal > Sosyal > Çevre Çalışmaları,Sosyal,True,Sosyal,Sosyal,Çevre Çalışmaları
381,101,İşletme,Sosyal > Sosyal > İşletme,Sosyal,True,Sosyal,Sosyal,İşletme
382,101,İşletme,Sosyal > Sosyal > İşletme,Sosyal,True,Sosyal,Sosyal,İşletme
